pattern,index,seed,bits,raw_packed,rle_size,rle_enc_ms,rle_dec_ms,bp_size,bp_enc_ms,bp_dec_ms,chosen,ratio
all_ones,1,,100000,12500,5,4.866,0.029,12504,11.076,8.707,RLE,0.0004
all_ones,2,,100000,12500,5,4.103,0.015,12504,9.584,8.535,RLE,0.0004
all_ones,3,,100000,12500,5,4.110,0.023,12504,9.900,9.237,RLE,0.0004
all_ones,4,,100000,12500,5,4.198,0.016,12504,10.323,9.040,RLE,0.0004
all_ones,5,,100000,12500,5,4.309,0.018,12504,9.717,8.606,RLE,0.0004
all_ones,6,,100000,12500,5,4.410,0.014,12504,9.994,8.436,RLE,0.0004
all_ones,7,,100000,12500,5,4.092,0.013,12504,9.744,8.678,RLE,0.0004
all_ones,8,,100000,12500,5,4.175,0.015,12504,9.591,8.868,RLE,0.0004
all_ones,9,,100000,12500,5,4.044,0.012,12504,9.956,8.451,RLE,0.0004
all_ones,10,,100000,12500,5,4.586,0.020,12504,9.660,8.910,RLE,0.0004
summary:all_ones,,,100000,12500,5,4.289,0.017,12504,9.954,8.747,auto RLE=10 BP=0,,rle_enc_MBps=2.914,rle_dec_MBps=720.461,bp_enc_MBps=1.256,bp_dec_MBps=1.429
blocky,1,,100000,12500,21254,10.873,5.494,12504,9.296,8.617,BITPACK,1.0003
blocky,2,,100000,12500,21254,10.597,5.374,12504,9.330,8.964,BITPACK,1.0003
blocky,3,,100000,12500,21254,10.623,5.107,12504,10.021,8.713,BITPACK,1.0003
blocky,4,,100000,12500,21254,10.823,6.149,12504,9.654,8.795,BITPACK,1.0003
blocky,5,,100000,12500,21254,10.744,5.166,12504,10.310,8.421,BITPACK,1.0003
blocky,6,,100000,12500,21254,10.490,5.203,12504,9.473,8.439,BITPACK,1.0003
blocky,7,,100000,12500,21254,10.981,5.229,12504,9.701,8.639,BITPACK,1.0003
blocky,8,,100000,12500,21254,10.522,5.267,12504,9.581,8.708,BITPACK,1.0003
blocky,9,,100000,12500,21254,10.880,5.642,12504,9.435,8.827,BITPACK,1.0003
blocky,10,,100000,12500,21254,10.506,5.234,12504,9.514,8.655,BITPACK,1.0003
summary:blocky,,,100000,12500,21254,10.704,5.387,12504,9.631,8.678,auto RLE=0 BP=10,,rle_enc_MBps=1.168,rle_dec_MBps=2.321,bp_enc_MBps=1.298,bp_dec_MBps=1.440
random,1,123456789,100000,12500,50468,22.422,14.487,12504,9.618,8.937,BITPACK,1.0003
random,2,123456790,100000,12500,51113,22.029,14.082,12504,9.621,9.025,BITPACK,1.0003
random,3,123456791,100000,12500,51306,21.999,14.124,12504,9.607,8.881,BITPACK,1.0003
random,4,123456792,100000,12500,50732,21.551,13.831,12504,9.697,8.910,BITPACK,1.0003
random,5,123456793,100000,12500,50882,21.517,14.099,12504,9.749,9.000,BITPACK,1.0003
random,6,123456794,100000,12500,51098,22.898,13.906,12504,10.051,8.996,BITPACK,1.0003
random,7,123456795,100000,12500,50867,21.669,14.198,12504,9.564,9.051,BITPACK,1.0003
random,8,123456796,100000,12500,50684,23.362,13.868,12504,9.684,8.901,BITPACK,1.0003
random,9,123456797,100000,12500,50948,21.915,13.920,12504,9.891,9.163,BITPACK,1.0003
random,10,123456798,100000,12500,51093,21.492,13.998,12504,9.609,8.847,BITPACK,1.0003
summary:random,,,100000,12500,50919,22.085,14.051,12504,9.709,8.971,auto RLE=0 BP=10,,rle_enc_MBps=0.566,rle_dec_MBps=0.890,bp_enc_MBps=1.287,bp_dec_MBps=1.393
