pattern,size,algo,ratio,enc_p50,enc_p95,dec_p50,dec_p95,thr_enc,thr_dec,ok_roundtrip,error
all_ones,1024,bpp,0.003906,7.021,11.043,0.022,0.059,0.135,34.190,1,
all_ones,1024,zlib,0.016602,0.035,0.060,0.012,0.016,27.302,44.132,1,
all_ones,1024,bz2,0.041992,0.188,0.244,0.091,0.186,5.249,9.123,1,
all_ones,1024,lzma,0.074219,12.880,20.978,0.194,0.311,0.071,4.737,1,
all_ones,16384,bpp,0.000305,113.240,116.925,0.071,0.166,0.145,211.963,1,
all_ones,16384,zlib,0.002380,0.252,0.391,0.104,0.117,61.420,154.532,1,
all_ones,16384,bz2,0.002686,0.509,1.501,0.233,1.626,25.160,37.114,1,
all_ones,16384,lzma,0.007324,13.769,20.136,0.372,0.764,1.116,38.627,1,
all_ones,262144,bpp,0.000023,1786.743,2010.304,1.523,2.065,0.145,166.634,1,
all_ones,262144,zlib,0.001057,5.750,10.133,2.147,2.499,41.851,117.412,1,
all_ones,262144,bz2,0.000172,5.664,8.666,2.126,4.280,43.015,104.373,1,
all_ones,262144,lzma,0.000656,30.621,59.329,2.678,4.338,6.900,79.589,1,
all_ones,1048576,bpp,0.000006,7107.781,8495.758,5.330,6.910,0.143,187.947,1,
all_ones,1048576,zlib,0.000991,25.435,34.671,8.106,18.838,38.437,102.300,1,
all_ones,1048576,bz2,0.000043,31.585,69.401,7.605,21.606,27.796,112.174,1,
all_ones,1048576,lzma,0.000271,79.078,90.751,9.209,11.408,12.934,101.466,1,
alternating,1024,bpp,1.002930,23.157,40.641,4.166,7.963,0.040,0.178,1,
alternating,1024,zlib,0.017578,0.037,0.144,0.010,0.030,15.001,75.331,1,
alternating,1024,bz2,0.041016,0.407,0.559,0.151,0.518,2.244,5.339,1,
alternating,1024,lzma,0.078125,24.594,59.357,0.269,0.430,0.035,3.466,1,
alternating,16384,bpp,1.000244,346.680,558.842,69.587,102.239,0.043,0.218,1,
alternating,16384,zlib,0.002441,0.285,0.406,0.062,0.088,54.912,236.103,1,
alternating,16384,bz2,0.002625,10.505,13.742,0.637,0.912,1.482,18.747,1,
alternating,16384,lzma,0.007324,18.082,26.815,0.509,0.814,0.834,30.624,1,
alternating,262144,bpp,1.000019,5525.501,7385.464,1144.269,1617.814,0.045,0.212,1,
alternating,262144,zlib,0.001060,5.534,6.464,0.821,1.236,46.329,286.087,1,
alternating,262144,bz2,0.000168,135.559,138.857,6.444,6.876,1.928,40.113,1,
alternating,262144,lzma,0.000671,26.608,29.144,2.026,2.510,9.733,124.269,1,
alternating,1048576,bpp,1.000005,21349.186,24420.234,4502.648,5234.852,0.048,0.229,1,
alternating,1048576,zlib,0.000992,22.819,24.152,4.203,5.216,45.582,241.237,1,
alternating,1048576,bz2,0.000073,792.586,800.452,26.360,26.763,1.320,39.729,1,
alternating,1048576,lzma,0.000271,70.815,72.918,8.272,8.474,14.743,122.737,1,
blocky,1024,bpp,1.002930,30.348,31.706,3.724,4.751,0.034,0.269,1,
blocky,1024,zlib,0.016602,0.036,0.137,0.012,0.073,19.357,53.454,1,
blocky,1024,bz2,0.041016,0.182,0.253,0.085,0.160,5.375,9.860,1,
blocky,1024,lzma,0.074219,12.683,17.800,0.187,0.400,0.075,4.637,1,
blocky,16384,bpp,1.000244,486.303,494.808,59.319,62.410,0.033,0.275,1,
blocky,16384,zlib,0.002380,0.254,0.407,0.104,0.144,56.101,151.676,1,
blocky,16384,bz2,0.002808,0.501,1.198,0.188,0.332,27.399,74.257,1,
