pattern,index,seed,bits,raw_packed,rle_size,rle_enc_ms,rle_dec_ms,bp_size,bp_enc_ms,bp_dec_ms,chosen,ratio
random,1,123456789,2048,256,1545,0.683,0.440,259,0.208,0.197,BITPACK,1.0117
random,2,123456790,2048,256,1524,0.611,0.402,259,0.191,0.185,BITPACK,1.0117
random,3,123456791,2048,256,1517,0.618,0.403,259,0.193,0.184,BITPACK,1.0117
random,4,123456792,2048,256,1560,0.630,0.461,259,0.197,0.185,BITPACK,1.0117
random,5,123456793,2048,256,1523,0.960,0.620,259,0.193,0.186,BITPACK,1.0117
random,6,123456794,2048,256,1545,0.727,0.575,259,0.204,0.198,BITPACK,1.0117
random,7,123456795,2048,256,1512,0.646,0.407,259,0.192,0.183,BITPACK,1.0117
random,8,123456796,2048,256,1512,0.596,0.428,259,0.193,0.182,BITPACK,1.0117
random,9,123456797,2048,256,1578,0.614,0.417,259,0.190,0.183,BITPACK,1.0117
random,10,123456798,2048,256,1572,0.656,0.423,259,0.190,0.191,BITPACK,1.0117
random,11,123456799,2048,256,1540,0.613,0.411,259,0.195,0.182,BITPACK,1.0117
random,12,123456800,2048,256,1549,0.627,0.427,259,0.200,0.191,BITPACK,1.0117
random,13,123456801,2048,256,1494,0.611,0.412,259,0.201,0.192,BITPACK,1.0117
random,14,123456802,2048,256,1504,0.611,0.410,259,0.193,0.193,BITPACK,1.0117
random,15,123456803,2048,256,1562,0.706,0.427,259,0.197,0.196,BITPACK,1.0117
random,16,123456804,2048,256,1523,0.645,0.452,259,0.207,0.191,BITPACK,1.0117
random,17,123456805,2048,256,1578,0.640,0.435,259,0.199,0.193,BITPACK,1.0117
random,18,123456806,2048,256,1534,0.946,0.415,259,0.239,0.252,BITPACK,1.0117
random,19,123456807,2048,256,1591,0.648,0.449,259,0.191,0.213,BITPACK,1.0117
random,20,123456808,2048,256,1545,0.609,0.415,259,0.197,0.186,BITPACK,1.0117
random,21,123456809,2048,256,1548,0.614,0.413,259,0.192,0.185,BITPACK,1.0117
random,22,123456810,2048,256,1590,0.652,0.423,259,0.193,0.182,BITPACK,1.0117
random,23,123456811,2048,256,1594,0.630,0.420,259,0.192,0.182,BITPACK,1.0117
random,24,123456812,2048,256,1546,0.610,0.406,259,0.193,0.181,BITPACK,1.0117
random,25,123456813,2048,256,1535,0.704,0.455,259,0.193,0.237,BITPACK,1.0117
random,26,123456814,2048,256,1567,0.611,0.419,259,0.193,0.185,BITPACK,1.0117
random,27,123456815,2048,256,1540,0.616,0.431,259,0.194,0.187,BITPACK,1.0117
random,28,123456816,2048,256,1563,0.625,0.437,259,0.191,0.188,BITPACK,1.0117
random,29,123456817,2048,256,1508,0.673,0.406,259,0.191,0.186,BITPACK,1.0117
random,30,123456818,2048,256,1510,0.598,0.402,259,0.191,0.187,BITPACK,1.0117
random,31,123456819,2048,256,1576,0.624,0.413,259,0.190,0.184,BITPACK,1.0117
random,32,123456820,2048,256,1515,0.598,0.404,259,0.191,0.217,BITPACK,1.0117
random,33,123456821,2048,256,1518,0.710,0.407,259,0.195,0.208,BITPACK,1.0117
random,34,123456822,2048,256,1529,0.611,0.432,259,0.194,0.190,BITPACK,1.0117
random,35,123456823,2048,256,1547,0.611,0.411,259,0.192,0.201,BITPACK,1.0117
random,36,123456824,2048,256,1538,0.606,0.410,259,0.192,0.183,BITPACK,1.0117
random,37,123456825,2048,256,1489,0.589,0.395,259,0.195,0.184,BITPACK,1.0117
random,38,123456826,2048,256,1613,0.651,0.512,259,0.264,0.196,BITPACK,1.0117
random,39,123456827,2048,256,1542,0.849,0.416,259,0.195,0.189,BITPACK,1.0117
random,40,123456828,2048,256,1542,0.748,0.480,259,0.190,0.202,BITPACK,1.0117
random,41,123456829,2048,256,1551,0.609,0.406,259,0.192,0.182,BITPACK,1.0117
random,42,123456830,2048,256,1537,0.607,0.410,259,0.191,0.182,BITPACK,1.0117
random,43,123456831,2048,256,1548,0.610,0.435,259,0.193,0.182,BITPACK,1.0117
random,44,123456832,2048,256,1514,0.637,0.402,259,0.191,0.184,BITPACK,1.0117
random,45,123456833,2048,256,1562,0.699,0.410,259,0.191,0.195,BITPACK,1.0117
random,46,123456834,2048,256,1501,0.597,0.477,259,0.198,0.188,BITPACK,1.0117
random,47,123456835,2048,256,1539,0.629,0.429,259,0.200,0.194,BITPACK,1.0117
random,48,123456836,2048,256,1593,0.744,0.538,259,0.190,0.197,BITPACK,1.0117
random,49,123456837,2048,256,1517,0.595,0.401,259,0.191,0.183,BITPACK,1.0117
random,50,123456838,2048,256,1516,0.715,0.402,259,0.192,0.200,BITPACK,1.0117
summary:random,,,2048,256,1541,0.655,0.433,259,0.196,0.192,auto RLE=0 BP=50,,rle_p95_enc=0.849,rle_p99_enc=0.960,rle_p95_dec=0.538,rle_p99_dec=0.620,bp_p95_enc=0.208,bp_p99_enc=0.264,bp_p95_dec=0.217,bp_p99_dec=0.252
blocky,1,,2048,256,1043,0.411,0.257,259,0.184,0.178,BITPACK,1.0117
blocky,2,,2048,256,1043,0.404,0.255,259,0.184,0.177,BITPACK,1.0117
blocky,3,,2048,256,1043,0.506,0.291,259,0.183,0.177,BITPACK,1.0117
blocky,4,,2048,256,1043,0.407,0.257,259,0.185,0.220,BITPACK,1.0117
blocky,5,,2048,256,1043,0.424,0.257,259,0.183,0.195,BITPACK,1.0117
blocky,6,,2048,256,1043,0.445,0.290,259,0.200,0.212,BITPACK,1.0117
blocky,7,,2048,256,1043,0.406,0.256,259,0.184,0.183,BITPACK,1.0117
blocky,8,,2048,256,1043,0.405,0.285,259,0.290,0.193,BITPACK,1.0117
blocky,9,,2048,256,1043,0.407,0.263,259,0.184,0.181,BITPACK,1.0117
blocky,10,,2048,256,1043,0.471,0.265,259,0.209,0.196,BITPACK,1.0117
blocky,11,,2048,256,1043,0.413,0.261,259,0.189,0.193,BITPACK,1.0117
blocky,12,,2048,256,1043,0.753,0.425,259,0.183,0.180,BITPACK,1.0117
blocky,13,,2048,256,1043,0.407,0.259,259,0.182,0.179,BITPACK,1.0117
blocky,14,,2048,256,1043,0.403,0.257,259,0.186,0.182,BITPACK,1.0117
blocky,15,,2048,256,1043,0.408,0.267,259,0.187,0.181,BITPACK,1.0117
blocky,16,,2048,256,1043,0.473,0.273,259,0.185,0.191,BITPACK,1.0117
blocky,17,,2048,256,1043,0.414,0.257,259,0.183,0.204,BITPACK,1.0117
blocky,18,,2048,256,1043,0.427,0.270,259,0.191,0.189,BITPACK,1.0117
blocky,19,,2048,256,1043,0.517,0.316,259,0.182,0.179,BITPACK,1.0117
blocky,20,,2048,256,1043,0.418,0.271,259,0.191,0.197,BITPACK,1.0117
blocky,21,,2048,256,1043,0.420,0.272,259,0.194,0.190,BITPACK,1.0117
blocky,22,,2048,256,1043,0.403,0.275,259,0.220,0.187,BITPACK,1.0117
blocky,23,,2048,256,1043,0.434,0.275,259,0.185,0.182,BITPACK,1.0117
blocky,24,,2048,256,1043,0.730,0.318,259,0.188,0.195,BITPACK,1.0117
blocky,25,,2048,256,1043,0.437,0.294,259,0.198,0.181,BITPACK,1.0117
